Country,State,Year,Youth Hostel Locations,"Youth Hostels Constructed (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2023",Port Blair,1.00000000000000000000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023","Kadapa, Tirupati, Vijayawada, Visakhapatnam, Vizianagaram",5.0000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023","Naharlagun, Roing",2.0000000000000000
India,Assam,"Financial Year (Apr - Mar), 2023","Guwahati,Tezpur",2.0000000000000000
India,Bihar,"Financial Year (Apr - Mar), 2023",Patna,1.00000000000000000000
India,Goa,"Financial Year (Apr - Mar), 2023","Panaji, PeddemMapusa",2.0000000000000000
India,Gujarat,"Financial Year (Apr - Mar), 2023",Gandhinagar,1.00000000000000000000
India,Haryana,"Financial Year (Apr - Mar), 2023","Bhiwani, Gurgaon, Kurukshetra, Panchkula, RewariSirsa, Yamuna Nagar",7.0000000000000000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023",Dalhousie,1.00000000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2023","Patnitop, Srinagar",2.0000000000000000
India,Karnataka,"Financial Year (Apr - Mar), 2023","Hassan, Mysore, Sogalu, Tirtharameshwar",4.0000000000000000
India,Kerala,"Financial Year (Apr - Mar), 2023","Calicut (Kozhikode), Ernakulam (Kochi), Trivandrum",3.0000000000000000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023","Bhopal, Jabalpur, Khajuraho",3.0000000000000000
India,Maharashtra,"Financial Year (Apr - Mar), 2023",Aurangabad,1.00000000000000000000
India,Manipur,"Financial Year (Apr - Mar), 2023","Churachandpur, Imphal, Thoubal",3.0000000000000000
India,Meghalaya,"Financial Year (Apr - Mar), 2023",Shillong,1.00000000000000000000
India,Mizoram,"Financial Year (Apr - Mar), 2023",Aizwal,1.00000000000000000000
India,Nagaland,"Financial Year (Apr - Mar), 2023",Dimapur,1.00000000000000000000
India,Odisha,"Financial Year (Apr - Mar), 2023","Gopalpur-on-Sea, Joshipur, Koraput, Puri",4.0000000000000000
India,Puducherry,"Financial Year (Apr - Mar), 2023",Puducherry,1.00000000000000000000
India,Punjab,"Financial Year (Apr - Mar), 2023","Amritsar, Jalandhar, Patiala, Ropar, Sangrur, Tarn Taran",6.0000000000000000
India,Rajasthan,"Financial Year (Apr - Mar), 2023","Ajmer, Jaipur, Jodhpur, Udaipur",4.0000000000000000
India,Sikkim,"Financial Year (Apr - Mar), 2023",Gangtok,1.00000000000000000000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023","Chennai, Madurai, Ooty, Thanjavaur, Trichy",5.0000000000000000
India,Telangana,"Financial Year (Apr - Mar), 2023","Nagarjunasagar, Secunderabad, Warangal",3.0000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023",Agartala,1.00000000000000000000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023","Agra, Lucknow",2.0000000000000000
India,Uttarakhand,"Financial Year (Apr - Mar), 2023","Badrinath, Mussoorie, Nainital, Uttarkashi",4.0000000000000000
India,West Bengal,"Financial Year (Apr - Mar), 2023",Darjeeling,1.00000000000000000000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2022",Port Blair,1.00000000000000000000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2022","Kadapa, Tirupati, Vijayawada, Visakhapatnam, Vizianagaram",5.0000000000000000
